transaction_id,date,currency,amount,status,source
bdd640fb-0667-4ad1-9c80-317fa3b1799d,2024-01-01,GBP,2524.43,COMPLETED,Internal_System
23b8c1e9-3924-46de-beb1-3b9046685257,2024-01-19,CHF,414.65,COMPLETED,Internal_System
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,2024-01-03,USD,2403.34,COMPLETED,Internal_System
972a8469-1641-4f82-8b9d-2434e465e150,2024-01-18,USD,7188.59,COMPLETED,Internal_System
17fc695a-07a0-4a6e-8822-e8f36c031199,2024-01-23,CHF,2282.36,COMPLETED,Internal_System
9a1de644-815e-46d1-bb8f-aa1837f8a88b,2024-01-19,GBP,8113.36,COMPLETED,Internal_System
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,2024-01-01,USD,7011.58,COMPLETED,Internal_System
6b65a6a4-8b81-48f6-b38a-088ca65ed389,2024-01-11,GBP,1639.25,COMPLETED,Internal_System
47378190-96da-4dac-b2ff-5d2a386ecbe0,2024-01-31,GBP,1111.88,COMPLETED,Internal_System
c241330b-01a9-471f-9e8a-774bcf36d58b,2024-01-12,GBP,6076.89,COMPLETED,Internal_System
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,2024-01-24,CHF,5408.66,COMPLETED,Internal_System
371ecd7b-27cd-4130-8722-9389571aa876,2024-01-30,CHF,880.12,COMPLETED,Internal_System
1a2a73ed-562b-4f79-8374-59eef50bea63,2024-01-10,GBP,5815.79,COMPLETED,Internal_System
5be6128e-18c2-4797-a142-ea7d17be3111,2024-01-02,USD,7753.38,COMPLETED,Internal_System
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,2024-01-03,USD,8678.19,COMPLETED,Internal_System
759cde66-bacf-43d0-8b1f-9163ce9ff57f,2024-01-13,GBP,4588.76,COMPLETED,Internal_System
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,2024-01-27,GBP,1710.28,COMPLETED,Internal_System
4b0dbb41-8d52-48f1-942c-3fe860e7a113,2024-01-12,USD,6734.73,COMPLETED,Internal_System
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,2024-01-20,USD,5387.98,COMPLETED,Internal_System
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,2024-01-08,USD,4676.38,COMPLETED,Internal_System
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,2024-01-09,USD,6877.68,COMPLETED,Internal_System
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,2024-01-26,GBP,4071.53,COMPLETED,Internal_System
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,2024-01-03,USD,9140.05,COMPLETED,Internal_System
7412b293-4729-4739-a14f-f3d719db3ad0,2024-01-19,GBP,2205.0,COMPLETED,Internal_System
29a3b2e9-5d65-4441-9588-42dea2bc372f,2024-01-16,CHF,8858.36,COMPLETED,Internal_System
ab9099a4-35a2-40ae-9af3-05535ec42e08,2024-01-21,CHF,1514.43,COMPLETED,Internal_System
aefcfad8-efc8-4849-b3aa-7efe4458a885,2024-01-05,USD,7475.39,COMPLETED,Internal_System
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,2024-01-18,GBP,7495.44,COMPLETED,Internal_System
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,2024-01-14,CHF,3683.76,COMPLETED,Internal_System
451b4cf3-6123-4df7-b656-af7229d4beef,2024-01-05,CHF,1000.0,COMPLETED,Internal_System
